"name","propertyName","rental","pricePerSizeUnitBuiltUp","address","lat","lng","city","district","bedrooms","bathrooms","builtUp","carParks","furnishing","postedDate","buildingId","unitType","propertyType"
"Scott Sentral, Brickfields","Scott Sentral","2100","1.4","Jalan Scott, Brickfields, 50470, Kuala Lumpur","3.134496","101.6925","Kuala Lumpur","Brickfields","3","2","1,500","1","Partly furnished","2021-05-07T05:38:08.628Z","1737","Corner lot","Serviced Residence"
"Mutiara Residency, Brickfields","Mutiara Residency","1300","4.33","Jalan Ang Seng, Off Jalan Thamby Abdullah, Brickfields, 50470, Kuala Lumpur","3.129039","101.682316","Kuala Lumpur","Brickfields","Studio","1","300","NULL","Fully furnished","2021-05-07T05:11:32.353Z","2717","NULL","Condominium"
"Establishment Bangsar (Menara Teguh Bangsar), Brickfields","Establishment Bangsar (Menara Teguh Bangsar)","2800","3.33","58, Jalan Ang Seng, Brickfields, 50470, Kuala Lumpur","3.127728","101.680176","Kuala Lumpur","Brickfields","3","2","840","1","Fully furnished","2021-05-07T04:55:13.356Z","4143","NULL","Serviced Residence"
"Dua Sentral, Brickfields","Dua Sentral","1900","2.08","8 Jalan Tun Sambanthan, Brickfields, 50480, Kuala Lumpur","3.136129","101.693015","Kuala Lumpur","Brickfields","2","2","912","NULL","Fully furnished","2021-05-07T04:49:11.464Z","2684","NULL","Serviced Residence"
"Dua Sentral, Brickfields","Dua Sentral","1600","2.25","8 Jalan Tun Sambanthan, Brickfields, 50480, Kuala Lumpur","3.136129","101.693015","Kuala Lumpur","Brickfields","1","1","710","NULL","Fully furnished","2021-05-07T04:33:30.518Z","2684","NULL","Serviced Residence"
"Villa Scott, Brickfields","Villa Scott","1900","1.52","Jalan Scott, Brickfields, 50470, Kuala Lumpur","3.133986","101.692704","Kuala Lumpur","Brickfields","2+1","2","1,250","1","NULL","2021-05-07T03:59:14.263Z","1540","NULL","Condominium"
"Dua Sentral, Brickfields","Dua Sentral","1800","1.71","8 Jalan Tun Sambanthan, Brickfields, 50480, Kuala Lumpur","3.136129","101.693015","Kuala Lumpur","Brickfields","2","2","1,050","1","Fully furnished","2021-05-07T03:57:38.532Z","2684","NULL","Serviced Residence"
"Villa Scott, Brickfields","Villa Scott","1900","1.3","Jalan Scott, Brickfields, 50470, Kuala Lumpur","3.133986","101.692704","Kuala Lumpur","Brickfields","4","3","1,460","1","NULL","2021-05-07T03:56:16.846Z","1540","NULL","Condominium"
"Scott Sentral, Brickfields","Scott Sentral","2200","1.89","Jalan Scott, Brickfields, 50470, Kuala Lumpur","3.134496","101.6925","Kuala Lumpur","Brickfields","3","2","1,165","1","NULL","2021-05-07T03:55:26.607Z","1737","NULL","Serviced Residence"
"Villa Scott, Brickfields","Villa Scott","660000","475.5","Jalan Scott, Brickfields, 50470, Kuala Lumpur","3.133986","101.692704","Kuala Lumpur","Brickfields","4","3","1,388","1","Fully furnished","2021-05-07T03:54:05.280Z","1540","NULL","Condominium"
"Scott Sentral, Brickfields","Scott Sentral","2400","2.01","Jalan Scott, Brickfields, 50470, Kuala Lumpur","3.134496","101.6925","Kuala Lumpur","Brickfields","3","2","1,195","1","Fully furnished","2021-05-07T03:53:22.158Z","1737","NULL","Serviced Residence"
"Palm Court Condominium, Brickfields","Palm Court Condominium","1600","1.45","Jalan Sultan Abdul Samad, Brickfields, 50470, Kuala Lumpur","3.129396","101.687362","Kuala Lumpur","Brickfields","3","2","1,100","1","NULL","2021-05-07T03:53:02.491Z","447","NULL","Condominium"
"Sri Impian Condominium, Brickfields","Sri Impian Condominium","2300","1.47","No. 38, Jalan Ang Seng, Brickfields, 50470, Kuala Lumpur","3.128953","101.681302","Kuala Lumpur","Brickfields","3+1","1","1,560","1","NULL","2021-05-07T03:52:41.510Z","1738","NULL","Condominium"
